Frequency (Hz)	Level (dB)
645.996094	-69.797630
647.341919	-69.829399
648.687744	-69.796715
650.033569	-69.710808
651.379395	-69.531662
652.725220	-69.373550
654.071045	-69.190674
655.416870	-69.034348
656.762695	-68.875938
658.108521	-68.656532
659.454346	-68.424034
660.800171	-68.223991
662.145996	-68.006393
663.491821	-67.826591
664.837646	-67.663094
666.183472	-67.495430
667.529297	-67.336807
668.875122	-67.233566
670.220947	-67.126213
671.566772	-67.011528
672.912598	-66.910927
674.258423	-66.845490
675.604248	-66.815971
676.950073	-66.791847
678.295898	-66.795570
679.641724	-66.808395
680.987549	-66.817955
682.333374	-66.841660
683.679199	-66.925308
685.025024	-67.045029
686.370850	-67.154182
687.716675	-67.252968
689.062500	-67.381111
690.408325	-67.505379
691.754150	-67.650742
693.099976	-67.827995
694.445801	-67.931763
695.791626	-68.100525
697.137451	-68.274651
698.483276	-68.372185
699.829102	-68.561874
701.174927	-68.586731
702.520752	-68.653130
703.866577	-68.672356
705.212402	-68.677605
706.558228	-68.616158
707.904053	-68.552032
709.249878	-68.419937
710.595703	-68.257912
711.941528	-68.019218
713.287354	-67.816956
714.633179	-67.535637
715.979004	-67.244507
717.324829	-66.912292
718.670654	-66.590118
720.016479	-66.275887
721.362305	-66.009735
722.708130	-65.705406
724.053955	-65.382301
725.399780	-65.093338
726.745605	-64.805801
728.091431	-64.567917
729.437256	-64.313416
730.783081	-64.039459
732.128906	-63.807125
733.474731	-63.605354
734.820557	-63.409557
736.166382	-63.236008
737.512207	-63.092041
738.858032	-62.943409
740.203857	-62.811153
741.549683	-62.718777
742.895508	-62.645355
744.241333	-62.559395
745.587158	-62.505096
746.932983	-62.464001
748.278809	-62.424526
749.624634	-62.389729
750.970459	-62.357796
752.316284	-62.372963
753.662109	-62.388874
755.007935	-62.380760
756.353760	-62.367760
757.699585	-62.351963
759.045410	-62.319748
760.391235	-62.290939
761.737061	-62.216198
763.082886	-62.093708
764.428711	-61.971607
765.774536	-61.831970
767.120361	-61.573479
768.466187	-61.286785
769.812012	-60.982410
771.157837	-60.608356
772.503662	-60.185635
773.849487	-59.731579
775.195312	-59.204647
776.541138	-58.688713
777.886963	-58.154644
779.232788	-57.601868
780.578613	-57.043728
781.924438	-56.471272
783.270264	-55.892330
784.616089	-55.337303
785.961914	-54.798805
787.307739	-54.275566
788.653564	-53.790676
789.999390	-53.348282
791.345215	-52.951931
792.691040	-52.599720
794.036865	-52.311699
795.382690	-52.074986
796.728516	-51.901688
798.074341	-51.818714
799.420166	-51.808022
800.765991	-51.864544
802.111816	-52.010563
803.457642	-52.216892
804.803467	-52.473007
806.149292	-52.803211
807.495117	-53.168739
808.840942	-53.584320
810.186768	-54.058247
811.532593	-54.538448
812.878418	-55.035652
814.224243	-55.582203
815.570068	-56.083157
816.915894	-56.633171
818.261719	-57.168987
819.607544	-57.729496
820.953369	-58.234520
822.299194	-58.698780
823.645020	-59.190029
824.990845	-59.609829
826.336670	-59.973934
827.682495	-60.351334
829.028320	-60.671696
830.374146	-60.928570
831.719971	-61.140163
833.065796	-61.290405
834.411621	-61.435368
835.757446	-61.506706
837.103271	-61.576603
838.449097	-61.602325
839.794922	-61.639969
841.140747	-61.611629
842.486572	-61.622154
843.832397	-61.644318
845.178223	-61.660305
846.524048	-61.666405
847.869873	-61.678719
849.215698	-61.679913
850.561523	-61.708717
851.907349	-61.749741
853.253174	-61.787510
854.598999	-61.830601
855.944824	-61.907299
857.290649	-62.017178
858.636475	-62.125008
859.982300	-62.242481
861.328125	-62.379021
862.673950	-62.535660
864.019775	-62.720848
865.365601	-62.917007
866.711426	-63.110584
868.057251	-63.327682
869.403076	-63.561237
870.748901	-63.822422
872.094727	-64.087906
873.440552	-64.350105
874.786377	-64.639481
876.132202	-64.946877
877.478027	-65.222000
878.823853	-65.524429
880.169678	-65.866005
881.515503	-66.118721
882.861328	-66.393745
884.207153	-66.633987
885.552979	-66.866333
886.898804	-67.055222
888.244629	-67.243027
889.590454	-67.364182
890.936279	-67.434250
892.282104	-67.505104
893.627930	-67.484901
894.973755	-67.417389
896.319580	-67.372574
897.665405	-67.251076
899.011230	-67.153328
900.357056	-66.948257
901.702881	-66.794197
903.048706	-66.648987
904.394531	-66.454155
905.740356	-66.231506
907.086182	-66.091896
908.432007	-65.943909
909.777832	-65.759438
911.123657	-65.607407
912.469482	-65.532257
913.815308	-65.464775
915.161133	-65.371002
916.506958	-65.282722
917.852783	-65.228157
919.198608	-65.207520
920.544434	-65.180740
921.890259	-65.153946
923.236084	-65.178535
924.581909	-65.230881
925.927734	-65.276817
927.273560	-65.352097
928.619385	-65.434616
929.965210	-65.522255
931.311035	-65.675461
932.656860	-65.828644
934.002686	-65.977203
935.348511	-66.159348
936.694336	-66.324692
938.040161	-66.474396
939.385986	-66.672516
940.731812	-66.861687
942.077637	-67.023361
943.423462	-67.168831
944.769287	-67.331909
946.115112	-67.506645
947.460938	-67.616508
948.806763	-67.736649
950.152588	-67.744125
951.498413	-67.741028
952.844238	-67.738022
954.190063	-67.598557
955.535889	-67.503448
956.881714	-67.335381
958.227539	-67.134544
959.573364	-66.941513
960.919189	-66.686073
962.265015	-66.449333
963.610840	-66.164764
964.956665	-65.877220
966.302490	-65.589073
967.648315	-65.304756
968.994141	-65.043945
970.339966	-64.808907
971.685791	-64.560905
973.031616	-64.314735
974.377441	-64.096565
975.723267	-63.908619
977.069092	-63.723850
978.414917	-63.528488
979.760742	-63.363888
981.106567	-63.246925
982.452393	-63.127384
983.798218	-63.013210
985.144043	-62.946205
986.489868	-62.892174
987.835693	-62.834316
989.181519	-62.787788
990.527344	-62.773781
991.873169	-62.794872
993.218994	-62.805428
994.564819	-62.819088
995.910645	-62.860332
997.256470	-62.910477
998.602295	-62.974461
999.948120	-63.025497
1001.293945	-63.060581
1002.639771	-63.122993
1003.985596	-63.175663
1005.331421	-63.206932
1006.677246	-63.221420
1008.023071	-63.222343
1009.368896	-63.178562
1010.714722	-63.098854
1012.060547	-62.974785
1013.406372	-62.783772
1014.752197	-62.572426
1016.098022	-62.344997
1017.443848	-62.033253
1018.789673	-61.671036
1020.135498	-61.310169
1021.481323	-60.856140
1022.827148	-60.455521
1024.172974	-60.009880
1025.518799	-59.530704
1026.864624	-59.068253
1028.210449	-58.580624
1029.556274	-58.106228
1030.902100	-57.642834
1032.247925	-57.174541
1033.593750	-56.728374
1034.939575	-56.279942
1036.285400	-55.830338
1037.631226	-55.406250
1038.977051	-54.999367
1040.322876	-54.601837
1041.668701	-54.227024
1043.014526	-53.867561
1044.360352	-53.509510
1045.706177	-53.172501
1047.052002	-52.869171
1048.397827	-52.584789
1049.743652	-52.326969
1051.089478	-52.098701
1052.435303	-51.915775
1053.781128	-51.785435
1055.126953	-51.678658
1056.472778	-51.613613
1057.818604	-51.607109
1059.164429	-51.661453
1060.510254	-51.760929
1061.856079	-51.931061
1063.201904	-52.130085
1064.547729	-52.377041
1065.893555	-52.678905
1067.239380	-52.997280
1068.585205	-53.337002
1069.931030	-53.698547
1071.276855	-54.039303
1072.622681	-54.361252
1073.968506	-54.676083
1075.314331	-54.981693
1076.660156	-55.240448
1078.005981	-55.490677
1079.351807	-55.677952
1080.697632	-55.845013
1082.043457	-55.995083
1083.389282	-56.125446
1084.735107	-56.214352
1086.080933	-56.308956
1087.426758	-56.399197
1088.772583	-56.471565
1090.118408	-56.549080
1091.464233	-56.615635
1092.810059	-56.680088
1094.155884	-56.766880
1095.501709	-56.859192
1096.847534	-56.965912
1098.193359	-57.073204
1099.539185	-57.190487
1100.885010	-57.335518
1102.230835	-57.493454
1103.576660	-57.656166
1104.922485	-57.840172
1106.268311	-58.029549
1107.614136	-58.220245
1108.959961	-58.436863
1110.305786	-58.676300
1111.651611	-58.929096
1112.997437	-59.201340
1114.343262	-59.482121
1115.689087	-59.772503
1117.034912	-60.083435
1118.380737	-60.395760
1119.726562	-60.729073
1121.072388	-61.074955
1122.418213	-61.409428
1123.764038	-61.778297
1125.109863	-62.126732
1126.455688	-62.470230
1127.801514	-62.790520
1129.147339	-63.112820
1130.493164	-63.402275
1131.838989	-63.655193
1133.184814	-63.899216
1134.530640	-64.089638
1135.876465	-64.246262
1137.222290	-64.354050
1138.568115	-64.399933
1139.913940	-64.460907
1141.259766	-64.441872
1142.605591	-64.378395
1143.951416	-64.322197
1145.297241	-64.245148
1146.643066	-64.141357
1147.988892	-64.039932
1149.334717	-63.946838
1150.680542	-63.822617
1152.026367	-63.731579
1153.372192	-63.644188
1154.718018	-63.576145
1156.063843	-63.501438
1157.409668	-63.436798
1158.755493	-63.402451
1160.101318	-63.386932
1161.447144	-63.381813
1162.792969	-63.400295
1164.138794	-63.433208
1165.484619	-63.459927
1166.830444	-63.516232
1168.176270	-63.607716
1169.522095	-63.715164
1170.867920	-63.823345
1172.213745	-63.937466
1173.559570	-64.076096
1174.905396	-64.222946
1176.251221	-64.391640
1177.597046	-64.591057
1178.942871	-64.803886
1180.288696	-65.020103
1181.634521	-65.236244
1182.980347	-65.466660
1184.326172	-65.702568
1185.671997	-65.932159
1187.017822	-66.142929
1188.363647	-66.356514
1189.709473	-66.562027
1191.055298	-66.776711
1192.401123	-66.897827
1193.746948	-67.063660
1195.092773	-67.165901
1196.438599	-67.242195
1197.784424	-67.215057
1199.130249	-67.211510
1200.476074	-67.151093
1201.821899	-67.037422
1203.167725	-66.821335
1204.513550	-66.660255
1205.859375	-66.477097
1207.205200	-66.244949
1208.551025	-65.996613
1209.896851	-65.752800
1211.242676	-65.510490
1212.588501	-65.253990
1213.934326	-65.029076
1215.280151	-64.798897
1216.625977	-64.565628
1217.971802	-64.367455
1219.317627	-64.165489
1220.663452	-63.972019
1222.009277	-63.811989
1223.355103	-63.664101
1224.700928	-63.537380
1226.046753	-63.433540
1227.392578	-63.342258
1228.738403	-63.271530
1230.084229	-63.205391
1231.430054	-63.153931
1232.775879	-63.139091
1234.121704	-63.143520
1235.467529	-63.149738
1236.813354	-63.174946
1238.159180	-63.225906
1239.505005	-63.294464
1240.850830	-63.365463
1242.196655	-63.447815
1243.542480	-63.556046
1244.888306	-63.663956
1246.234131	-63.772373
1247.579956	-63.872482
1248.925781	-63.979637
1250.271606	-64.096420
1251.617432	-64.170059
1252.963257	-64.220963
1254.309082	-64.240677
1255.654907	-64.246101
1257.000732	-64.217125
1258.346558	-64.117905
1259.692383	-63.991272
1261.038208	-63.842369
1262.384033	-63.601124
1263.729858	-63.361954
1265.075684	-63.074078
1266.421509	-62.749081
1267.767334	-62.421906
1269.113159	-62.054371
1270.458984	-61.684826
1271.804810	-61.314568
1273.150635	-60.931915
1274.496460	-60.554604
1275.842285	-60.191319
1277.188110	-59.837059
1278.533936	-59.477783
1279.879761	-59.135376
1281.225586	-58.798553
1282.571411	-58.471516
1283.917236	-58.171406
1285.263062	-57.881493
1286.608887	-57.602772
1287.954712	-57.340988
1289.300537	-57.098534
1290.646362	-56.864017
1291.992188	-56.633083
1293.338013	-56.420300
1294.683838	-56.228889
1296.029663	-56.044624
1297.375488	-55.866364
1298.721313	-55.701256
1300.067139	-55.552597
1301.412964	-55.411987
1302.758789	-55.266361
1304.104614	-55.140450
1305.450439	-55.025993
1306.796265	-54.895313
1308.142090	-54.769680
1309.487915	-54.622688
1310.833740	-54.472145
1312.179565	-54.305569
1313.525391	-54.107796
1314.871216	-53.897400
1316.217041	-53.659454
1317.562866	-53.369106
1318.908691	-53.054169
1320.254517	-52.703083
1321.600342	-52.336704
1322.946167	-51.956726
1324.291992	-51.565243
1325.637817	-51.203705
1326.983643	-50.866505
1328.329468	-50.559803
1329.675293	-50.321293
1331.021118	-50.156830
1332.366943	-50.037754
1333.712769	-49.988983
1335.058594	-50.006504
1336.404419	-50.077007
1337.750244	-50.186375
1339.096069	-50.338776
1340.441895	-50.530689
1341.787720	-50.749409
1343.133545	-50.987568
1344.479370	-51.248447
1345.825195	-51.528389
1347.171021	-51.822399
1348.516846	-52.133938
1349.862671	-52.461369
1351.208496	-52.799446
1352.554321	-53.143711
1353.900146	-53.500439
1355.245972	-53.869282
1356.591797	-54.241451
1357.937622	-54.625935
1359.283447	-55.029186
1360.629272	-55.437248
1361.975098	-55.845539
1363.320923	-56.275978
1364.666748	-56.714451
1366.012573	-57.134583
1367.358398	-57.571510
1368.704224	-58.002598
1370.050049	-58.442337
1371.395874	-58.882366
1372.741699	-59.276619
1374.087524	-59.670040
1375.433350	-60.045277
1376.779175	-60.392303
1378.125000	-60.690903
1379.470825	-60.950672
1380.816650	-61.172287
1382.162476	-61.348202
1383.508301	-61.492344
1384.854126	-61.575634
1386.199951	-61.636852
1387.545776	-61.641514
1388.891602	-61.622410
1390.237427	-61.570778
1391.583252	-61.503975
1392.929077	-61.425159
1394.274902	-61.340832
1395.620728	-61.257469
1396.966553	-61.170357
1398.312378	-61.075615
1399.658203	-60.999588
1401.004028	-60.945526
1402.349854	-60.898151
1403.695679	-60.859646
1405.041504	-60.830612
1406.387329	-60.823154
1407.733154	-60.827404
1409.078979	-60.842793
1410.424805	-60.882771
1411.770630	-60.934860
1413.116455	-61.002346
1414.462280	-61.100388
1415.808105	-61.216759
1417.153931	-61.335976
1418.499756	-61.477383
1419.845581	-61.644627
1421.191406	-61.825077
1422.537231	-62.015255
1423.883057	-62.225365
1425.228882	-62.442432
1426.574707	-62.683949
1427.920532	-62.937084
1429.266357	-63.171593
1430.612183	-63.400574
1431.958008	-63.672783
1433.303833	-63.911125
1434.649658	-64.146072
1435.995483	-64.373894
1437.341309	-64.576347
1438.687134	-64.747238
1440.032959	-64.887054
1441.378784	-65.013092
1442.724609	-65.037262
1444.070435	-65.045898
1445.416260	-65.059860
1446.762085	-64.971443
1448.107910	-64.860344
1449.453735	-64.729973
1450.799561	-64.574974
1452.145386	-64.383049
1453.491211	-64.179230
1454.837036	-63.959183
1456.182861	-63.766594
1457.528687	-63.557938
1458.874512	-63.339382
1460.220337	-63.127583
1461.566162	-62.954464
1462.911987	-62.802471
1464.257812	-62.633762
1465.603638	-62.484268
1466.949463	-62.347626
1468.295288	-62.219902
1469.641113	-62.124466
1470.986938	-62.046249
1472.332764	-61.978966
1473.678589	-61.940857
1475.024414	-61.925678
1476.370239	-61.924240
1477.716064	-61.940750
1479.061890	-61.974594
1480.407715	-62.016315
1481.753540	-62.084805
1483.099365	-62.177448
1484.445190	-62.274860
1485.791016	-62.378345
1487.136841	-62.509510
1488.482666	-62.660248
1489.828491	-62.786564
1491.174316	-62.911469
1492.520142	-63.081570
1493.865967	-63.241806
1495.211792	-63.404907
1496.557617	-63.529476
1497.903442	-63.628754
1499.249268	-63.734661
1500.595093	-63.798561
1501.940918	-63.813648
1503.286743	-63.792828
1504.632568	-63.745720
1505.978394	-63.657768
1507.324219	-63.502914
1508.670044	-63.314484
1510.015869	-63.090294
1511.361694	-62.861942
1512.707520	-62.592484
1514.053345	-62.286118
1515.399170	-61.981636
1516.744995	-61.648533
1518.090820	-61.341045
1519.436646	-61.024075
1520.782471	-60.720146
1522.128296	-60.419060
1523.474121	-60.127846
1524.819946	-59.839634
1526.165771	-59.568150
1527.511597	-59.315205
1528.857422	-59.074993
1530.203247	-58.849918
1531.549072	-58.636333
1532.894897	-58.445602
1534.240723	-58.271671
1535.586548	-58.111027
1536.932373	-57.972397
1538.278198	-57.840084
1539.624023	-57.721367
