Frequency (Hz)	Level (dB)
4984.936523	-27.496269
4995.703125	-32.773235
5006.469727	-48.261177
5017.236328	-62.257278
5028.002930	-71.700577
5038.769531	-78.276390
5049.536133	-83.276474
5060.302734	-87.314735
5071.069336	-90.706123
5081.835938	-93.631660
5092.602539	-96.205368
5103.369141	-98.503311
5114.135742	-100.579453
5124.902344	-102.472977
5135.668945	-104.213989
5146.435547	-105.825554
5157.202148	-107.324921
5167.968750	-108.726677
5178.735352	-110.044136
5189.501953	-111.284889
5200.268555	-112.459412
5211.035156	-113.573181
5221.801758	-114.631783
5232.568359	-115.641701
5243.334961	-116.605049
5254.101562	-117.528557
5264.868164	-118.412270
5275.634766	-119.258484
5286.401367	-120.077827
5297.167969	-120.859077
5307.934570	-121.610924
5318.701172	-122.337250
5329.467773	-123.034668
5340.234375	-123.705963
5351.000977	-124.342941
5361.767578	-124.956482
5372.534180	-125.551003
5383.300781	-126.111374
5394.067383	-126.640457
5404.833984	-127.142220
5415.600586	-127.601387
5426.367188	-128.030563
5437.133789	-128.427612
5447.900391	-128.767715
5458.666992	-129.080200
5469.433594	-129.327347
5480.200195	-129.528366
5490.966797	-129.677734
5501.733398	-129.755447
