Frequency (Hz)	Level (dB)
582.742310	-57.124889
584.088135	-57.470421
585.433960	-57.781673
586.779785	-58.038502
588.125610	-58.329662
589.471436	-58.538803
590.817261	-58.738750
592.163086	-58.949409
593.508911	-59.132084
594.854736	-59.277924
596.200562	-59.426212
597.546387	-59.556789
598.892212	-59.686096
600.238037	-59.787674
601.583862	-59.904404
602.929688	-60.049202
604.275513	-60.175804
605.621338	-60.305134
606.967163	-60.457058
608.312988	-60.614944
609.658813	-60.776733
611.004639	-60.935497
612.350464	-61.110664
613.696289	-61.314793
615.042114	-61.530033
616.387939	-61.770283
617.733765	-62.024490
619.079590	-62.264217
620.425415	-62.507458
621.771240	-62.784081
623.117065	-63.069565
624.462891	-63.381958
625.808716	-63.722694
627.154541	-64.026917
628.500366	-64.381691
629.846191	-64.735603
631.192017	-65.068314
632.537842	-65.424080
633.883667	-65.771820
635.229492	-66.072296
636.575317	-66.402542
637.921143	-66.712151
639.266968	-67.033112
640.612793	-67.267700
641.958618	-67.470901
643.304443	-67.702019
644.650269	-67.891441
645.996094	-67.948524
647.341919	-68.062569
648.687744	-68.038559
650.033569	-67.981888
651.379395	-67.949829
652.725220	-67.936806
654.071045	-67.778595
655.416870	-67.670288
656.762695	-67.570930
658.108521	-67.457161
659.454346	-67.329208
660.800171	-67.202080
662.145996	-67.081940
663.491821	-66.939896
664.837646	-66.850067
666.183472	-66.791985
667.529297	-66.739662
668.875122	-66.662094
670.220947	-66.598305
671.566772	-66.605965
672.912598	-66.638687
674.258423	-66.675446
675.604248	-66.723610
676.950073	-66.764854
678.295898	-66.808563
679.641724	-66.874763
680.987549	-67.010910
682.333374	-67.195618
683.679199	-67.328407
685.025024	-67.457741
686.370850	-67.630234
687.716675	-67.811485
689.062500	-68.052078
690.408325	-68.293114
691.754150	-68.537544
693.099976	-68.791161
694.445801	-68.995644
695.791626	-69.243546
697.137451	-69.486572
698.483276	-69.702606
699.829102	-69.854256
701.174927	-70.047852
702.520752	-70.227997
703.866577	-70.297371
705.212402	-70.353134
706.558228	-70.367081
707.904053	-70.424126
709.249878	-70.377853
710.595703	-70.300217
711.941528	-70.103249
713.287354	-69.951218
714.633179	-69.766853
715.979004	-69.614166
717.324829	-69.442291
718.670654	-69.211426
720.016479	-68.956230
721.362305	-68.725334
722.708130	-68.526100
724.053955	-68.342827
725.399780	-68.133011
726.745605	-67.949234
728.091431	-67.802208
729.437256	-67.644119
730.783081	-67.488075
732.128906	-67.360970
733.474731	-67.267601
734.820557	-67.210075
736.166382	-67.140465
737.512207	-67.072540
738.858032	-67.057625
740.203857	-67.052078
741.549683	-67.049820
742.895508	-67.102783
744.241333	-67.133385
745.587158	-67.159470
746.932983	-67.264229
748.278809	-67.375130
749.624634	-67.462372
750.970459	-67.578735
