Frequency (Hz)	Level (dB)
4586.572266	-40.233143
4597.338867	-41.284748
4608.105469	-42.130466
4618.872070	-42.788513
4629.638672	-43.274109
4640.405273	-43.593380
4651.171875	-43.747505
4661.938477	-43.735821
4672.705078	-43.549351
4683.471680	-43.179047
4694.238281	-42.614380
4705.004883	-41.849209
4715.771484	-40.927700
4726.538086	-39.998249
4737.304688	-39.378345
4748.071289	-39.459900
4758.837891	-40.401222
4769.604492	-41.977036
4780.371094	-43.787716
4791.137695	-45.548538
4801.904297	-47.140491
4812.670898	-48.538399
4823.437500	-49.752060
4834.204102	-50.786430
4844.970703	-51.656075
4855.737305	-52.373772
4866.503906	-52.943443
4877.270508	-53.368149
4888.037109	-53.642719
4898.803711	-53.773903
4909.570312	-53.760509
4920.336914	-53.612087
4931.103516	-53.363132
4941.870117	-53.098026
4952.636719	-52.976070
4963.403320	-53.212765
4974.169922	-53.966393
4984.936523	-55.223339
4995.703125	-58.049294
5006.469727	-65.986870
5017.236328	-74.861046
5028.002930	-77.785301
5038.769531	-78.979439
5049.536133	-79.575249
5060.302734	-79.858574
5071.069336	-79.897789
5081.835938	-79.754501
5092.602539	-79.434685
5103.369141	-79.423645
5114.135742	-78.722725
5124.902344	-78.306664
5135.668945	-77.572769
5146.435547	-77.272240
5157.202148	-76.275803
5167.968750	-76.247475
5178.735352	-75.863098
5189.501953	-75.998497
5200.268555	-76.158539
5211.035156	-77.025116
5221.801758	-77.570763
5232.568359	-78.490318
5243.334961	-79.782913
5254.101562	-80.779701
5264.868164	-82.279495
5275.634766	-83.734398
5286.401367	-85.607460
5297.167969	-87.060585
5307.934570	-89.629021
5318.701172	-91.750000
5329.467773	-94.351097
5340.234375	-97.156326
5351.000977	-100.594025
5361.767578	-103.761803
5372.534180	-107.777275
5383.300781	-112.326241
5394.067383	-116.683113
5404.833984	-122.433861
5415.600586	-128.817474
5426.367188	-136.245270
5437.133789	-142.921768
5447.900391	-146.036972
5458.666992	-146.881409
5469.433594	-147.358551
5480.200195	-147.505325
5490.966797	-147.591217
5501.733398	-147.686783
