Frequency (Hz)	Level (dB)
4468.139648	-35.761757
4478.906250	-34.359089
4489.672852	-32.984093
4500.439453	-32.130032
4511.206055	-32.296753
4521.972656	-33.497189
4532.739258	-35.241138
4543.505859	-37.024773
4554.272461	-38.615021
4565.039062	-39.959755
4575.805664	-41.068066
4586.572266	-41.964725
4597.338867	-42.668110
4608.105469	-43.196144
4618.872070	-43.553787
4629.638672	-43.746902
4640.405273	-43.775459
4651.171875	-43.633316
4661.938477	-43.307190
4672.705078	-42.789818
4683.471680	-42.077034
4694.238281	-41.189854
4705.004883	-40.232815
4715.771484	-39.465748
4726.538086	-39.281960
4737.304688	-39.939941
4748.071289	-41.325363
4758.837891	-43.064434
4769.604492	-44.825623
4780.371094	-46.449287
4791.137695	-47.881943
4801.904297	-49.123043
4812.670898	-50.185528
4823.437500	-51.077137
4834.204102	-51.813168
4844.970703	-52.397541
4855.737305	-52.833714
4866.503906	-53.123650
4877.270508	-53.268402
4888.037109	-53.259659
4898.803711	-53.105549
4909.570312	-52.834808
4920.336914	-52.506153
4931.103516	-52.263626
4941.870117	-52.322124
4952.636719	-52.892838
4963.403320	-54.030231
4974.169922	-55.597206
4984.936523	-57.345013
4995.703125	-60.316391
5006.469727	-68.276459
5017.236328	-77.757187
5028.002930	-80.793785
5038.769531	-82.237061
5049.536133	-82.764275
5060.302734	-82.880814
5071.069336	-82.839653
5081.835938	-82.556244
5092.602539	-81.957191
5103.369141	-81.707962
5114.135742	-80.752945
5124.902344	-80.235260
5135.668945	-79.435570
5146.435547	-79.138374
5157.202148	-78.292610
5167.968750	-78.560104
5178.735352	-78.529060
5189.501953	-79.071648
5200.268555	-79.520271
5211.035156	-80.622887
5221.801758	-81.287247
5232.568359	-82.246429
5243.334961	-83.485970
5254.101562	-84.383148
5264.868164	-85.723885
5275.634766	-87.032745
5286.401367	-88.868492
5297.167969	-90.203407
5307.934570	-92.585068
5318.701172	-94.486153
5329.467773	-97.056572
5340.234375	-99.693306
5351.000977	-103.076149
5361.767578	-106.169067
5372.534180	-110.230888
5383.300781	-115.119453
5394.067383	-120.310631
5404.833984	-127.889099
5415.600586	-134.325104
5426.367188	-139.535873
5437.133789	-142.776505
5447.900391	-146.379990
5458.666992	-147.753357
5469.433594	-148.234955
5480.200195	-148.377731
5490.966797	-148.467606
5501.733398	-148.514160
